GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DataProcess,com.app.txt.save.generic,SaveToTxt,3,14,0,0,0,4,0,2,0,2
DataProcess,com.app.data.impl,DataImpl,0,85,0,2,0,19,0,11,0,10
DataProcess,com.app.txt.save.impl,StringToTxtSave,0,4,0,0,0,2,0,1,0,1
DataProcess,com.app.processing.impl,DataProcessingImpl,0,322,0,62,0,75,0,39,0,8
DataProcess,com.app.model,Filename,0,9,0,0,0,1,0,1,0,1
DataProcess,com.app.user,User,9,83,6,8,0,4,5,8,0,6
DataProcess,com.app.user,UserType,0,15,0,0,0,3,0,1,0,1
DataProcess,com.app.txt.load.generic,LoadFromTxt,0,16,0,0,0,2,0,2,0,2
DataProcess,com.app.parser.impl,UserLineParser,0,46,0,2,0,7,0,3,0,2
DataProcess,com.app.parser.impl,ContentLineParser,0,8,0,0,0,2,0,2,0,2
DataProcess,com.app.parser.impl,FilenameLineParser,0,39,0,2,0,7,0,3,0,2
DataProcess,com.app.txt.load.impl,UserTxtLoad,0,5,0,0,0,2,0,1,0,1
DataProcess,com.app.txt.load.impl,ContentTxtLoad,0,5,0,0,0,2,0,1,0,1
DataProcess,com.app.txt.load.impl,FilenameTxtLoad,0,5,0,0,0,2,0,1,0,1
DataProcess,com.app.repository.impl,UserRepository,0,18,0,2,0,6,0,3,0,2
DataProcess,com.app.repository.impl,DataRepository,0,63,0,4,0,17,0,8,0,6
DataProcess,com.app.repository.impl,FilenameRepository,0,18,0,2,0,6,0,3,0,2
DataProcess,com.app.txt.impl,TxtTransfer,1,131,2,16,0,27,2,12,0,5
